id,type,name,desc,price,property,req,needBlueprint,makingType,timeCost,castHp,Tags,skillId,quality,desc
100,3,木棍,1,10,13|18;19|2;21|1,1;1100|1,0,Melee,1,0,近战武器,0,1,简陋的木棒。可以用作近战武器。
101,3,骨棒,1,10,13|18;19|2;21|1,1;2100|1,0,Melee,1,0,近战武器,0,1,随手制作的白骨棒。
103,3,砍刀,1,100,13|27;19|2;21|0.5,1;1100|1;2200|3,0,Melee,2,0,近战武器,0,2,杀人越货必备。
105,3,长矛,1,140,13|60;19|4;21|1,1;1100|2;2200|4,0,Melee,2,0,近战武器,0,2,制式长矛。
106,3,短剑,1,180,13|40;19|2;21|0.5,1;2201|3;2200|3,0,Melee,3,0,近战武器,0,2,锋利的短剑。
107,3,战斧,1,300,13|72;19|2;21|1,1;2201|5;2200|5,0,Melee,3,0,近战武器,0,2,劈柴、杀人，无所不能。
108,3,狼牙棒,1,800,13|104;19|3;21|1.2,1;2200|20;2107|20,0,Melee,3,0,近战武器,0,2,带钉子的木棒。
109,3,牺牲巨斧,2,2450,13|125;19|3;21|1.2,1;2301|20;2200|10;2202|5,0,Melee,5,0,近战武器,0,3,沉重的战斧。
110,3,不屈之剑,2,2460,13|94;19|2;21|0.5,1;2301|20;2200|10;2202|5,0,Melee,5,0,近战武器,0,3,削铁如泥的短剑。
111,3,恐惧利刃,2,2470,13|94;19|2;21|0.5,1;2300|16;2201|24;2202|5,0,Melee,5,0,近战武器,0,3,一把短刀，冒着令人恐惧的寒光。
112,3,诅咒之剑,2,2600,13|107;19|2;21|0.5,1;2300|10;2301|10;2202|20,0,Melee,5,0,近战武器,0,3,被诅咒的宝剑。
114,3,堕落之剑,2,3000,13|120;19|2;21|0.5,1;2100|120;2301|10;2300|9,0,Melee,5,0,近战武器,0,3,根据霜之哀伤仿制的长剑。
115,3,骷髅巨剑,2,3200,13|160;19|2;21|1,1;2100|120;2301|10;2300|10,0,Melee,5,0,近战武器,0,3,比看上去好用的多。
116,3,无锋剑,2,4000,13|160;19|2;21|0.8,1;2300|20;2301|20,0,Melee,5,0,近战武器,0,3,重剑无锋。
117,3,冷酷长矛,3,11800,13|220;19|4;21|1,1;2300|40;2200|100;2402|12,0,Melee,8,0,近战武器,0,4,冰冷的矛尖可以刺透任何试图阻挡它的东西。
118,3,邪恶短刀,3,14400,13|139;19|2;21|0.3,1;2301|60;2201|80;2402|15,0,Melee,8,0,近战武器,0,4,以邪恶而来，必以死亡而终。
119,3,狂暴利爪,3,18200,13|110;19|1;21|0.1,1;2107|20;2402|32;2405|5,0,Melee,8,0,近战武器,0,4,带上它，你会变得嗜血。
