id,Hp,Hp_inc,Att,Att_inc,Def,Def_inc,Hit,Dodge
1,30,3.75,7.5,0.36,0,0.28,75,5
2,16.8,2.08,15,0.72,2.4,0.3,75,5
3,37.5,4.69,7.2,0.36,3,0.336,70,5
4,33,3.6,7.5,0.36,0,0.28,75,5
5,24,3.87,7.5,0.36,0,0.28,75,5
6,30,3.75,10.5,0.21,0,0.28,75,5
7,30,3.75,7.35,0.36,0,0.28,75,5
8,16.8,2.08,18,0.57,2.4,0.3,75,5
9,16.8,2.08,12,0.86,2.4,0.3,75,5
10,45,4.3,7.2,0.36,3,0.336,70,5
11,34.5,4.75,7.2,0.36,3,0.336,70,5
12,16.8,2.08,1.45,0.68,2.4,0.3,90,5
13,16.8,2.08,15,0.75,2.4,0.3,75,5
14,35.63,4.45,7.2,0.36,3,0.336,70,15
15,39.38,4.92,7.2,0.36,3,0.336,70,5
