itemId,shopId,req,aq,itemtype
100,1,4200|2,0|4,0
200,2,3107|1,3100|2,1
201,2,3108|1,3100|30,1
300,3,4105|20,1|4209,0
301,3,4107|10,1|4210,0
302,3,4112|5,1|4208,0
400,4,3100|1,4101|10,1
500,5,0,3300|1,0
600,6,3109|1,110|1,0
700,7,3307|1,3100|80,0
701,7,3308|1,3100|80,0
800,8,3105|1,3100|2,2|20
801,8,3106|1,3100|2,2|20
900,9,3306|1,3100|80,0
901,9,3308|1,3100|80,0
1000,10,3104|1,3100|2,2|20
1001,10,3106|1,3100|2,2|20
1100,11,3306|1,3100|80,0
1101,11,3307|1,3100|80,0
1200,12,3104|1,3100|2,2|20
1201,12,3105|1,3100|2,2|20
1300,13,3301|99,119|1,0
1301,13,3301|2,3302|1,1
1400,14,3100|5,2400|1,1
1401,14,3100|5,2401|1,1
1402,14,3100|5,2402|1,1
1500,15,2202|99,304|1,0
1600,16,3300|2,3305|1,1
1700,17,0,0|14,0
1800,18,3303|99,206|1,0
1801,18,3303|2,3304|1,1
1900,19,3100|-1,-1|1,1
1901,19,3100|-1,-1|1,1
1902,19,3100|-1,-1|1,1
1903,19,3100|-1,-1|1,1
1904,19,3100|-1,-1|1,1
1905,19,3100|-1,-1|1,1
2000,20,0,3100|-1,1
