id,name,target,power,effectId,effectProp,castSpeed
1,咬,1,100,0,0,3.25
2,磕碰,1,100,0,0,3.9
4,混乱打击,1,10,101,100,3.9
5,魅惑,1,10,102,100,3.9
6,劈,1,100,0,0,2.6
7,钳击,1,100,0,0,3.25
8,棒打,1,100,0,0,3.25
10,吞食,1,150,0,0,3.25
11,地震波,1,40,103,60,4.55
12,火球,1,100,111,50,3.9
13,冻结,1,50,104,80,3.9
14,嚎叫,1,150,0,0,3.64
15,威吓,1,120,0,0,3.9
16,踢,1,100,0,0,2.6
17,啄,1,100,0,0,2.6
18,石化,1,40,105,60,3.25
19,冲撞,1,100,0,0,2.86
20,净化,0,50,0,0,3.9
21,抓,1,100,0,0,2.86
22,射击,1,100,0,0,3.25
24,拍击,1,100,0,0,3.25
25,减速,1,50,100,100,3.25
26,灵魂吞噬,1,50,106,100,3.25
27,缠绕,1,40,107,60,3.9
28,刺,1,100,0,0,2.6
29,跺地,1,100,0,0,3.25
30,凝视,1,20,105,70,2.6
31,冲击,1,100,0,0,3.25
33,吸血冲击,1,70,109,100,3.25
34,鞭子,1,100,0,0,3.25
35,撕裂,1,100,0,0,3.25
36,冰枪术,1,100,0,0,3.25
