id,type,name,desc,price,property,req,needBlueprint,makingType,timeCost,castHp,Tags,skillId,quality,desc
100,3,Wood Stick,1,10,13|18;19|2;21|1,1;1100|1,0,Melee,1,0,近战武器,0,1,Melee weapon.
101,3,Bone Stick,1,10,13|18;19|2;21|1,1;2100|1,0,Melee,1,0,近战武器,0,1,Melee weapon.
103,3,Chopper,1,100,13|27;19|2;21|0.5,1;1100|1;2200|3,0,Melee,2,0,近战武器,0,2,Melee weapon.
105,3,Spear,1,140,13|60;19|4;21|1,1;1100|2;2200|4,0,Melee,2,0,近战武器,0,2,Melee weapon.
106,3,Dagger,1,180,13|40;19|2;21|0.5,1;2201|3;2200|3,0,Melee,3,0,近战武器,0,2,Melee weapon.
107,3,Tomahawk,1,300,13|72;19|2;21|1,1;2201|5;2200|5,0,Melee,3,0,近战武器,0,2,Melee weapon.
108,3,Mace,1,800,13|104;19|3;21|1.2,1;2200|20;2107|20,0,Melee,3,0,近战武器,0,2,Melee weapon.
109,3,Ax of Sacrifice,2,2450,13|125;19|3;21|1.2,1;2301|20;2200|10;2202|5,0,Melee,5,0,近战武器,0,3,Melee weapon.
110,3,Sword of Unyield,2,2460,13|94;19|2;21|0.5,1;2301|20;2200|10;2202|5,0,Melee,5,0,近战武器,0,3,Melee weapon.
111,3,Blade of Fear,2,2470,13|94;19|2;21|0.5,1;2300|16;2201|24;2202|5,0,Melee,5,0,近战武器,0,3,Melee weapon.
112,3,Sword of Curse,2,2600,13|107;19|2;21|0.5,1;2300|10;2301|10;2202|20,0,Melee,5,0,近战武器,0,3,Melee weapon.
114,3,Sword of Degenerate,2,3000,13|120;19|2;21|0.5,1;2100|120;2301|10;2300|9,0,Melee,5,0,近战武器,0,3,Melee weapon.
115,3,Skeleton Sword,2,3200,13|160;19|2;21|1,1;2100|120;2301|10;2300|10,0,Melee,5,0,近战武器,0,3,Melee weapon.
116,3,Great Sword,2,4000,13|160;19|2;21|0.8,1;2300|20;2301|20,0,Melee,5,0,近战武器,0,3,Melee weapon.
117,3,Spear of Blood,3,11800,13|220;19|4;21|1,1;2300|40;2200|100;2402|12,0,Melee,8,0,近战武器,0,4,Melee weapon.
118,3,Knife of Evil,3,14400,13|139;19|2;21|0.3,1;2301|60;2201|80;2402|15,0,Melee,8,0,近战武器,0,4,Melee weapon.
119,3,Violent Claw,3,18200,13|110;19|1;21|0.1,1;2107|20;2402|32;2405|5,0,Melee,8,0,近战武器,0,4,Melee weapon.
120,3,Abyss Reaper,3,18000,13|245;19|3;21|1,1;2107|20;2402|32;2405|5,0,Melee,8,0,近战武器,0,4,Melee weapon.
121,3,The Invisible,3,2500,13|59;19|1;21|0.1,1;2400|15;2402|15;2405|10,0,Melee,5,0,近战武器,0,3,Melee weapon.
122,3,King of swords,3,200000,13|320;19|2;21|0.8,1;2410|100;2402|50,0,Melee,5,0,近战武器,0,4,Melee weapon.
200,4,Wood Bow,1,70,14|12;20|14;22|1.6,1;1100|2;2104|5,0,Ranged,2,0,远程武器,0,1,Ranged Weapon.
201,4,Bone Bow,1,70,14|20;20|15;22|1.6,1;2100|2;2104|5,0,Ranged,2,0,远程武器,0,1,Ranged Weapon.
