id,name,level,propType,spirit,speed,range,vitalSensibility,skills,bodyPart,reward,canCapture,group,openMap,goodPoints,liveplace
100,Bison,5,3,100,8,3,70,16,Body|Head|Legs,4102|2;2102|2,2,2,0,0,1
101,Elk,4,1,100,11,2,70,2,Body|Head|Legs,4102|2;2102|2,2,1,0,0,1
102,Mustang,3,1,100,12,1,70,16,Body|Head|Legs,4102|2;2102|2,2,2,0,0,1
103,Cheetah,10,12,100,13,1,85,1|21,Body|Head|Legs,4102|2;2102|5,5,1,0,0,1
104,Snake,8,1,100,8,3,80,1|34,Body|Head|Tail,4102|3;2105|2;3402|0.1,0,2,0,0,1
105,Bird,2,1,100,9,1,70,17,Body|Head|Wings,4102|2;2101|5,0,1,0,0,1
200,Poisonous Evy,6,8,100,2,12,100,34,Body||,2104|5;2109|2,0,3,0,0,1
201,Hare,2,1,100,7,1,65,16,Body|Head|Legs,4102|2;2102|2,0,1,0,0,1
202,Wolf,11,2,100,13,2,80,1,Body|Head|Legs,4102|2;2102|2,4,3,0,0,1
203,Bee Shooter,6,8,100,6,5,80,22,Body|Eye|Wings,4111|0.14;2107|1;3304|0.02,0,5,0,0,1
204,Bee Queen,12,12,100,11,8,75,22,Body|Eye|Wings,4111|2;2107|2;3402|0.1;3304|0.045,0,1,0,0,1
300,Jackal,9,10,100,14,2,75,1,Body|Head|Legs,4102|2;2102|2,4,2,0,0,1
301,Microtus,1,2,100,10,2,70,1,Body|Head|Legs,4102|2,0,3,0,0,1
302,Crow,1,4,100,7,1,80,17,Body|Head|Wings,4102|2,0,1,0,0,1
303,Wolf,12,2,100,13,2,80,1,Body|Head|Legs,4102|2;2102|2,4,3,0,0,1
304,White Wolf,13,9,100,14,2,75,1,Body|Head|Legs,4102|2;2102|2,4,1,0,0,1
400,Crazy Dog,6,2,100,10,1,80,1,Body|Head|Legs,4102|2;2102|2,3,2,0,0,1
401,Thief,10,5,100,8,2,60,6|16|19,Body|Head|Legs,103|0.19;500|0.26;600|0.19;3402|0.1;3302|0.02,0,1,0,1,1
402,Snitch,9,12,100,9,2,70,28|16|19,Body|Head|Legs,501|0.21;601|0.16;3402|0.1;3302|0.04,0,2,0,1,1
500,Snitch,9,12,100,9,2,70,28|16|19,Body|Head|Legs,501|0.21;601|0.16;3402|0.1;3302|0.04,0,2,0,1,1
501,King of Thieves,20,3,100,9,3,80,28|16|19,Body|Head|Legs,501|0.22;601|0.17;3402|0.1;3302|0.075;3304|0.075,0,1,0,5,1
502,Snitch Guard,13,13,100,8,2,70,28|16|19,Body|Head|Legs,501|0.21;601|0.16;3402|0.1;3302|0.04,0,1,0,1,1
503,Wild Dog,6,2,100,10,1,80,1,Body|Head|Legs,4102|2;2102|2,3,2,0,0,1
600,Rat,17,8,100,11,2,75,24|1|16,Body|Head|Legs,107|0.17,0,2,0,1,1
601,Scorpio,16,13,100,7,4,80,28,Body|Head|Legs,2109|2;2107|0.38;3402|0.1,0,1,0,1,1
602,Kobold,17,7,100,10,2,70,8|16|19,Body|Head|Legs,2200|2;2201|0.3;2300|0.22;2301|0.22;3402|0.1;3302|0.065,0,2,0,1,1
603,Poisonous Spider,15,4,100,7,1,75,1|27,Body|Head|Legs,2106|3;2109|2,5,2,0,0,1
604,Kobold Leader,22,6,100,12,2,70,8|16|19,Body|Head|Legs,2300|0.23;2301|0.23;3402|0.1;3302|0.1,0,1,0,1,1
